,ID,Gender,Age,Country,Registered,Artist_ID,Artist,Plays
0,0026e191a02571bacb601574b47b0899d0720cb4,m,19.0,Poland,"Mar 18, 2008",07cc14fb-4784-4a25-804b-2686ed5ef52c,the game,654
1,0026e191a02571bacb601574b47b0899d0720cb4,m,19.0,Poland,"Mar 18, 2008",f97873dd-3a2f-4625-9922-51896fb9d14d,grammatik,384
2,0026e191a02571bacb601574b47b0899d0720cb4,m,19.0,Poland,"Mar 18, 2008",f82bcf78-5b69-4622-a5ef-73800768d9ac,jay-z,347
3,0026e191a02571bacb601574b47b0899d0720cb4,m,19.0,Poland,"Mar 18, 2008",6fdd3b3e-1ea6-4da9-8d6f-8f8de01c133a,maurice ravel,339
4,0026e191a02571bacb601574b47b0899d0720cb4,m,19.0,Poland,"Mar 18, 2008",164f0d73-1234-4e2c-8743-d77bf2191051,kanye west,303
5,0026e191a02571bacb601574b47b0899d0720cb4,m,19.0,Poland,"Mar 18, 2008",6c272ee4-ccb7-44b5-bf5d-ad7f6dbc32c5,eldo,276
6,0026e191a02571bacb601574b47b0899d0720cb4,m,19.0,Poland,"Mar 18, 2008",9f4551c6-1324-4ac5-b3fe-a5c5cfacd54d,mos def,231
7,0026e191a02571bacb601574b47b0899d0720cb4,m,19.0,Poland,"Mar 18, 2008",f90e8b26-9e52-4669-a5c9-e28529c47894,snoop dogg,220
8,0026e191a02571bacb601574b47b0899d0720cb4,m,19.0,Poland,"Mar 18, 2008",f85e8414-d0fd-4ebe-b01d-2e2dc5f8a644,2cztery7,219
9,0026e191a02571bacb601574b47b0899d0720cb4,m,19.0,Poland,"Mar 18, 2008",99acd557-c4e2-4086-9be9-85f57184dadc,o.s.t.r.,217
10,0026e191a02571bacb601574b47b0899d0720cb4,m,19.0,Poland,"Mar 18, 2008",0dcb2b7e-8e3a-41ad-a662-811d5902189d,pezet,215
